"biography","birthday","deathday","gender","name","place_of_birth","facebook_likes"
"From Wikipedia, the free encyclopedia

Peter Sohn is a Pixar storyboard artist and animator. Sohn started his career with Pixar in the art and story departments for Finding Nemo. He also worked on The Incredibles, Ratatouille and WALL-E. Sohn performed the voice of Emile in Ratatouille. He made his directorial debut with the short film Partly Cloudy in 2009 which he also wrote. In a CGSociety article, Sohn says his idea for Partly Cloudy came from watching Dumbo as a child. In the movie, a stork delivers Dumbo. This made him wonder where the bird gets the babies from. He decided the babies came from clouds and so that is why birds have to deliver them. Partly Cloudy was included in the Animation Show of Shows in 2009.

Sohn was born and raised in New York. He attended CalArts and while there got a summer job working on Brad Bird's The Iron Giant. After school he worked at The Walt Disney Company and Warner Brothers before coming to Pixar.

Russell, the boy in Up, was based on Peter Sohn.

Description above from the Wikipedia article Peter Sohn, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1975-06-21",,2,"Peter Sohn","Bronx, New York, USA",113.0
"Mark Andrews is a Welsh professional wrestler signed to Total Nonstop Action Wrestling (TNA) performing under the name Mandrews, after spending several years appearing worldwide on the independent wrestling circuit.","1992-01-25",,0,"Mark Andrews",,56.0
"From Wikipedia, the free encyclopedia

Justin Lin (born 1971) is an Taiwanese American film director, best known for his work on The Fast and the Furious franchise and the television show, Community.

Description above from the Wikipedia article Justin Lin, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1971-10-01",,0,"Justin Lin","Taipei, Taiwan",681.0
"Roland Emmerich (born November 10, 1955) is a German film director, screenwriter, and producer who is known for his work on disaster and action flicks. He made a name for himself with The Noah's Ark Principle (1981) and co-founded Centropolis Entertainment in 1985 with his sister. 

Besides his work in the entertainment industry, he is a collector of art and an active campaigner for the LGBT community, global warming awareness and equal rights.","1955-11-10",,2,"Roland Emmerich","Stuttgart, Baden-W  rttemberg, West Germany",776.0
"From Wikipedia, the free encyclopedia.

Robert Lee Zemeckis (born May 14, 1952) is an American film director, producer and screenwriter. Zemeckis first came to public attention in the 1980s as the director of the comedic time-travel Back to the Future film series, as well as the Academy Award-winning live-action/animation epic Who Framed Roger Rabbit (1988), though in the 1990s he diversified into more dramatic fare, including 1994's Forrest Gump, for which he won an Academy Award for Best Director.

His films are characterized by an interest in state-of-the-art special effects, including the early use of match moving in Back to the Future Part II (1989) and the pioneering performance capture techniques seen in The Polar Express (2004), Beowulf (2007) and A Christmas Carol (2009). Though Zemeckis has often been pigeonholed as a director interested only in effects, his work has been defended by several critics, including David Thomson, who wrote that ""No other contemporary director has used special effects to more dramatic and narrative purpose.""

Description above from the Wikipedia article Robert Zemeckis, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1951-05-14",,2,"Robert Zemeckis","Chicago, Illinois, USA",0.0
"Lana Wachowski (born June 21, 1965) and Lilly Wachowski (born December 29, 1967), siblings collectively known as The Wachowskis (formerly The Wachowski Brothers), are American film directors, writers and producers, most famous for creating The Matrix series. Their most recent project was producing Ninja Assassin.","1965-06-21",,1,"Lana Wachowski","Chicago, Illinois, USA",0.0
"From Wikipedia, the free encyclopedia Peter Hans ""Pete"" Docter (born October 9, 1968) is an American film director, animator, and screenwriter from Bloomington, Minnesota. He is best known for directing the films Monsters, Inc. and Up, and as a key figure and collaborator in Pixar Animation Studios. The A. V. Club has called him ""almost universally successful"". He has been nominated for six Oscars (one win thus far for Up -- Best Animated Feature), three Annie Awards (winning two), a BAFTA Children's Film Award (which he won), and a Hochi Film Award (which he won). He has described himself as a ""geeky kid from Minnesota who likes to draw cartoons."" He is now working on a top-secret project, that will be released in 2013 or 2014. He will not direct Monsters, Inc. 2. Description above from the Wikipedia article Pete Docter, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1968-10-09",,2,"Pete Docter","Bloomington, Minnesota, USA",0.0
"From Wikipedia, the free encyclopedia

Rob Letterman is an American film director, writer and voice actor.

Before Letterman's filmic subjects took him into outer space with Monsters vs. Aliens (2009), he was taken underwater, having directed and written DreamWorks Animation's 2004 Academy Award-nominated hit comedy Shark Tale, starring Will Smith, Ren  e Zellweger, Angelina Jolie and Jack Black. His writing efforts on the film also netted him an Annie nomination.

Prior to Letterman's joining DreamWorks Animation, he directed the short film Los Gringos, which was accepted at 2000's Sundance Film Festival.

In 2010 Letterman directed the live-action film Gulliver's Travels, starring Jack Black in the lead role.

Letterman was born in Hawaii. Attended Mid-Pacific Institute, USC.

Description above from the Wikipedia article Rob Letterman, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,0,"Rob Letterman",,11.0
"Jonathan Kolia ""Jon"" Favreau (born October 19, 1966) is an American actor, screenwriter, film director and comedian. He is best known for appearing in films including Rudy, I Love You, Man, Swingers and Couples Retreat, as well as directing such films as Elf, Iron Man, and Iron Man 2. He is also known for playing the role of Pete Becker, Monica Geller's boyfriend during season three of the television sitcom Friends.

Description above from the Wikipedia article Jon Favreau, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-10-19",,2,"Jon Favreau","Queens, New York, USA",4000.0
"American film director, screenwriter, producer, actor, and film historian Martin Marcantonio Luciano Scorsese made the short films while he attended New York University's film school; these include    What's a Nice Girl Like You Doing in a Place Like This?    (1963),    It's Not Just You, Murray!    (1964), and his most famous short of the period    The Big Shave    (1967). This came shortly after seriously considering entering into priesthood. He entered a seminary in 1956 then opted to direct his focus toward film; he graduated from NYU as a film major in 1964.

Scorsese made his first feature-length film in 1967,    Call First   , which was later retitled    Who's That Knocking at My Door   , which was followed by    Boxcar Bertha    (1972). The Film    Taxi Driver    (1976) won the Palme d'Or at the 1976 Cannes Film Festival, and received four Oscar nominations, including Best Picture, establishing Scorsese as an accomplished filmmaker operating on a highly skilled level.  

Scorsese has been married five times. His first wife was Laraine Marie Brennan; they have a daughter, Catherine. He married the writer Julia Cameron in 1976; they have a daughter, Domenica Cameron-Scorsese, who is an actress and appeared in The Age of Innocence, but the marriage lasted only a year. He was married to actress Isabella Rossellini from 1979 to their divorce in 1983. He then married producer Barbara De Fina in 1985; their marriage ended in divorce as well, in 1991. He has been married to Helen Morris since 1999; they have a daughter, Francesca, who appeared in The Departed and The Aviator. He is primarily based in New York City.","1942-11-17",,2,"Martin Scorsese","Queens, New York, USA",17000.0
"From Wikipedia, the free encyclopedia.

Robert ""Rob"" Cohen (born March 12, 1949) is an American film director, producer and writer.

Description above from the Wikipedia article Rob Cohen, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1949-03-12",,2,"Rob Cohen","Cornwall, New York, USA",357.0
"From Wikipedia, the free encyclopedia.

David Ayer (born 1968) is an American screenwriter, film producer and film director.

Description above from the Wikipedia article   David Ayer, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1968",,0,"David Ayer","Champaign, Illinois, USA",453.0
